Unnamed: 0,CIS20CD,date,sars_cov2_gc_l_mean,suspended_solids_mg_l,ammonia_mg_l,ophosph_mg_l,sample_ph_pre_ansis,control_gc_l_mean,reac_vol_control,raw_ansis_sars_repc_std,grab_compo_boo,sars_below_lod,sars_below_loq,reception_delay,catchment_population_ons_mid_2019,catchment_area,catch_in_cis_prop,catch_cis_population,median_prob,ll,ul
5314,J06000183,2020-09-13,14408.946289062504,410.0,32.0,6.800000190734864,7.599999904632568,6689500.0,2.0,30.822532653808594,1.0,0.0,0.0,25.716666666666665,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.1569219407999975,0.100474014536042,0.2429007236381638
5315,J06000183,2020-09-14,1253.04046885173,370.0,30.999999999999996,5.699999809265137,7.599999904632568,6689500.0,2.0,5.614010334014893,0.0,0.0,0.0,25.2,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.1637182585313404,0.1055139358493168,0.2518369833347341
5316,J06000183,2020-09-16,2645.363828023283,280.0,30.999999999999996,5.300000190734863,7.599999904632568,6689500.0,2.0,5.792891343434653,1.0,0.0,0.0,52.75000000000001,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.1773108939940261,0.1155937784758662,0.2697095027278747
5317,J06000183,2020-09-18,4630.647694905619,180.0,34.0,5.599999904632568,7.599999904632568,6689500.0,2.0,2.068151473999027,1.0,0.0,0.0,24.416666666666668,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.1869957351296321,0.1231996497737334,0.2817550845929906
5318,J06000183,2020-09-20,2052.4033203125,400.0,32.0,5.900000095367432,7.599999904632568,6689500.0,2.0,9.69651222229004,1.0,0.0,0.0,25.033333333333335,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.1927727819381584,0.1283315497429183,0.2879737289300817
5319,J06000183,2020-09-21,6143.697753906251,140.0,30.999999999999996,5.099999904632568,7.599999904632568,6689500.0,2.0,13.213993072509767,0.0,0.0,0.0,25.016666666666666,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.1956613053424215,0.1308974997275107,0.2910830510986272
5320,J06000183,2020-09-23,2201.7824071248374,360.0,33.0,5.699999809265137,7.599999904632568,6689500.0,2.0,8.655272006988525,1.0,0.0,0.0,24.883333333333333,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.2014383521509478,0.1360293996966955,0.2973016954357184
5321,J06000183,2020-09-25,7637.031738281248,150.0,26.999999999999996,4.199999809265137,7.599999904632568,6689500.0,2.0,15.477397918701172,1.0,0.0,0.0,25.016666666666666,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.217879011260523,0.1484220221868624,0.3190402264283652
5322,J06000183,2020-09-27,5437.214589436865,250.00000000000003,34.0,5.0,7.599999904632568,6689500.0,2.0,2.3394756317138636,1.0,0.0,0.0,25.299999999999997,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.244983282671147,0.1680753671980112,0.3562986440765678
5323,J06000183,2020-09-28,8107.27220662436,300.0,34.0,5.199999809265137,7.599999904632568,6689500.0,2.0,5.095029830932617,1.0,0.0,0.0,25.216666666666665,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.258535418376459,0.1779020397035857,0.3749278529006691
5324,J06000183,2020-09-30,6155.988515218111,260.0,30.0,4.699999809265137,7.599999904632568,6689500.0,2.0,10.54222297668457,1.0,0.0,0.0,25.78333333333334,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.285639689787083,0.1975553847147345,0.4121862705488717
5325,J06000183,2020-10-02,5393.864394293899,150.0,28.999999999999996,4.199999809265137,7.599999904632568,6689500.0,2.0,7.271891752878825,1.0,0.0,0.0,25.833333333333332,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.3149307367514694,0.2192048603639248,0.4526544023834751
5326,J06000183,2020-10-04,1918.3324610392249,330.0,11.0,2.0999999046325684,7.599999904632568,6689500.0,2.0,6.178422451019287,1.0,0.0,0.0,25.7,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.3464085592696183,0.2428504666511565,0.4963322484044794
5327,J06000183,2020-10-05,2653.4040629069095,110.0,11.0,1.600000023841858,7.599999904632568,6689500.0,2.0,11.950264930725098,1.0,0.0,0.0,24.616666666666667,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.3621474705286927,0.2546732697947724,0.5181711714149816
5328,J06000183,2020-10-07,5127.805664062503,270.0,23.0,2.900000095367432,7.599999904632568,6689500.0,2.0,14.767117977142334,1.0,0.0,0.0,25.083333333333332,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.3936252930468416,0.2783188760820041,0.5618490174359858
5329,J06000183,2020-10-09,5127.805664062503,99.0,24.0,3.2000000476837163,7.599999904632568,6689500.0,2.0,14.767117977142334,1.0,0.0,0.0,24.733333333333334,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.4254075438308526,0.3020476536395537,0.6054220093235189
5330,J06000183,2020-10-11,7602.207265218095,170.0,28.999999999999996,4.0,7.599999904632568,6689500.0,2.0,17.58397102355957,1.0,0.0,0.0,24.983333333333334,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.4574942228807257,0.3258596024674212,0.6488901470775805
5331,J06000183,2020-10-12,6033.354746500663,240.0,30.0,4.099999904632568,7.599999904632568,6689500.0,2.0,3.234346389770508,1.0,0.0,0.0,25.366666666666664,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.4735375624056622,0.3377655768813549,0.6706242159546114
5332,J06000183,2020-10-14,66.5,210.0,20.0,2.900000095367432,7.599999904632568,6689500.0,2.0,0.0,1.0,0.0,0.0,24.7,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.5056242414555354,0.3615775257092223,0.7140923537086731
5333,J06000183,2020-10-16,3815.6314112345376,240.0,26.999999999999996,3.5999999046325684,7.599999904632568,6689500.0,2.0,23.68208074569702,1.0,0.0,0.0,25.116666666666667,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.5411127532463228,0.387310041847299,0.7638058830203855
5334,J06000183,2020-10-18,1307.4702466328945,170.0,28.999999999999996,4.099999904632568,7.599999904632568,6689500.0,2.0,4.511665105819702,1.0,0.0,0.0,25.133333333333333,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.5800030977780246,0.414963125295585,0.8197648038897487
5335,J06000183,2020-10-19,15381.82540893558,303.3333333333333,32.0,4.300000190734863,7.599999904632568,6689500.0,2.0,53.1670207977295,1.0,0.0,0.0,25.1,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.5994482700438755,0.428789667019728,0.8477442643244303
5336,J06000183,2020-10-21,19498.31589762373,509.99999999999994,28.999999999999996,4.300000190734863,7.599999904632568,6689500.0,2.0,25.957660675048828,1.0,1.0,0.0,24.966666666666665,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.6383386145755772,0.456442750468014,0.9037031851937934
5337,J06000183,2020-10-23,37317.76953125,220.00000000000003,25.0,3.5999999046325684,7.599999904632568,6689500.0,2.0,13.870361328124998,1.0,1.0,0.0,25.366666666666664,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.6661866580809161,0.4756138492559603,0.9421903608338672
5338,J06000183,2020-10-25,12428.06496175132,180.0,24.0,3.5999999046325684,7.599999904632568,6689500.0,2.0,10.095195770263672,1.0,0.0,0.0,26.066666666666663,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.6829924005598924,0.4863029633835669,0.9632057912446514
5339,J06000183,2020-10-26,15804.087422688792,230.0,18.0,2.5,7.599999904632568,6689500.0,2.0,45.07487106323242,1.0,0.0,0.0,25.766666666666666,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.6913952717993807,0.4916475204473701,0.9737135064500436
5340,J06000183,2020-10-28,60426.16015624999,160.0,26.0,3.2000000476837163,7.599999904632568,6689500.0,2.0,65.26278686523435,1.0,1.0,0.0,25.366666666666664,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.7082010142783569,0.5023366345749767,0.994728936860828
5341,J06000183,2020-10-30,14526.910664876332,190.0,22.0,3.0999999046325684,7.599999904632568,6689500.0,2.0,26.806018829345703,1.0,0.0,0.0,24.75,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.7209170032477833,0.5114704107775333,1.0117948395578484
5342,J06000183,2020-11-01,7609.492060343429,220.00000000000003,23.0,3.299999952316284,7.599999904632568,6689500.0,2.0,26.536938667297363,1.0,0.0,0.0,24.916666666666668,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.7295432387076599,0.5190488490550399,1.0249112145411057
5343,J06000183,2020-11-02,15258.328633626335,200.0,26.999999999999996,3.5,7.599999904632568,6689500.0,2.0,9.737392425537124,1.0,0.0,0.0,25.366666666666664,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.7338563564375982,0.5228380681937931,1.0314694020327342
5344,J06000183,2020-11-04,20393.510274251297,280.0,21.0,2.900000095367432,7.599999904632568,6689500.0,2.0,43.65160751342772,1.0,1.0,0.0,24.733333333333334,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.7424825918974748,0.5304165064712997,1.0445857770159914
5345,J06000183,2020-11-06,77665.3260904949,280.0,28.999999999999996,4.199999809265137,7.599999904632568,6689500.0,2.0,132.02967834472656,1.0,1.0,0.0,24.6,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.7866214293066041,0.5501088861570492,1.1364211065227472
5346,J06000183,2020-11-08,3954.781483968107,509.99999999999994,25.66666666666667,4.5,7.599999904632568,6689500.0,2.0,5.656349182128906,1.0,0.0,0.0,24.983333333333334,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.866272868664986,0.5819152072510418,1.3069753905530015
5347,J06000183,2020-11-09,131528.578125,320.0,30.999999999999996,4.699999809265137,7.599999904632568,6689500.0,2.0,257.07769775390625,1.0,1.0,0.0,25.299999999999997,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.906098588344177,0.5978183677980381,1.3922525325681283
5348,J06000183,2020-11-11,178193.86751302064,300.0,26.999999999999996,3.900000095367432,7.599999904632568,6689500.0,2.0,121.13543701171876,1.0,1.0,1.0,25.43333333333333,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.9857500277025588,0.6296246888920307,1.5628068165983828
5349,J06000183,2020-11-13,28725.314453125007,290.0,26.0,3.700000047683716,7.599999904632568,6689500.0,2.0,6.089294433593736,1.0,1.0,0.0,24.666666666666668,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.9992313071039194,0.6282353372189227,1.60019013272
5350,J06000183,2020-11-15,11750.177734375,390.0,26.999999999999996,4.199999809265137,7.599999904632568,6689500.0,2.0,49.159629821777344,1.0,0.0,0.0,25.816666666666663,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.9465424265482584,0.5936503127787142,1.50440248093298
5351,J06000183,2020-11-16,39961.03190104169,180.0,14.0,2.0,7.599999904632568,6689500.0,2.0,30.541127522786464,1.0,0.0,0.0,24.733333333333334,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.9201979862704276,0.5763578005586099,1.45650865503947
5352,J06000183,2020-11-18,54855.5859375,250.00000000000003,26.999999999999996,3.299999952316284,7.599999904632568,6689500.0,2.0,2.20208740234375,1.0,1.0,0.0,25.333333333333336,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.8675091057147666,0.5417727761184014,1.36072100325245
5353,J06000183,2020-11-20,31544.325154622376,370.0,28.0,3.5999999046325684,7.599999904632568,6689500.0,2.0,25.780174255371104,1.0,1.0,0.0,24.316666666666663,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.8294526257511303,0.5180575061938357,1.29879543790548
5354,J06000183,2020-11-22,33483.18461100269,190.0,30.0,4.099999904632568,7.599999904632568,6689500.0,2.0,63.64112091064453,1.0,1.0,0.0,25.550000000000004,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.8060285463795189,0.5052119907849132,1.27073195899856
5355,J06000183,2020-11-23,20918.31538899741,280.0,30.0,4.099999904632568,7.599999904632568,6689500.0,2.0,28.285774230957035,1.0,1.0,0.0,25.2,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.7943165066937131,0.4987892330804518,1.2567002195451
5356,J06000183,2020-11-25,69288.93172200536,250.00000000000003,32.0,4.300000190734863,7.599999904632568,6689500.0,2.0,100.58006286621094,1.0,1.0,0.0,25.083333333333332,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.7708924273221017,0.4859437176715293,1.22863674063818
5357,J06000183,2020-11-27,31309.187500000004,370.0,32.0,4.5,7.599999904632568,6689500.0,2.0,3.2084960937500004,1.0,1.0,0.0,24.2,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.8339667962624381,0.534546543560136,1.3116984315707172
5358,J06000183,2020-11-29,17887.028361002685,110.0,30.999999999999996,4.599999904632568,7.599999904632568,6689500.0,2.0,32.56729888916016,1.0,1.0,0.0,24.65,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,0.983539613514722,0.644597710746272,1.5058852923427115
5359,J06000183,2020-11-30,34709.83797200527,330.0,30.999999999999996,4.0,7.599999904632568,6689500.0,2.0,74.18162536621094,1.0,1.0,0.0,25.1,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,1.058326022140864,0.69962329433934,1.602978722728709
5360,J06000183,2020-12-02,38460.07609049483,290.0,28.999999999999996,3.900000095367432,7.599999904632568,6689500.0,2.0,136.24754333496094,1.0,1.0,0.0,25.6,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,1.207898839393148,0.8096744615254761,1.7971655835007028
5361,J06000183,2020-12-04,18580.01664225263,200.0,18.0,2.5999999046325684,7.599999904632568,6689500.0,2.0,3.218345642089844,1.0,1.0,0.0,25.183333333333337,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,1.3671494552970844,0.9246628392321548,2.012901335309404
5362,J06000183,2020-12-06,32977.16796874999,150.0,23.0,2.900000095367432,7.599999904632568,6689500.0,2.0,43.2903137207031,1.0,1.0,0.0,25.333333333333336,1826532.0,443.91078958730907,2.0260185210318378,331948.95254141936,1.536077869852673,1.0445884274593766,2.250185978154813
